lexeme,gen
cercleux,m
cercueil,m
céréale,f
cérébral,m
cérébralité,f
cérémoniaire,m
cérémonial,m
cérémonie,f
cerf-roi,m
cerf-volant,m
cerfeuil,m
cerisaie,f
cerise,f
cerisier,m
cerne,m
cerneau,m
cerque,m
certif,m
certification,f
certitude,f
cérumen,m
céruse,f
cerveau,m
cervelas,m
cervelet,m
cervelle,f
cervidé,m
cervoise,f
césar,m
césarienne,f
cessation,f
cesse,f
cessez-le-feu,m
cession,f
cessionnaire,m
ceste,m
césure,f
cétacé,m
cétoine,f
cétone,f
cévadille,f
cévenol,m
cézigue,m
chabichou,m
chablis,m
chaboisseau,m
chabot,m
chacal,m
chachlik,m
chaconne,f
chafaud,m
chafouin,m
chah,m
chahuteur,m
chahuteuse,f
chaîne,f
chaînette,f
chaînon,m
chair,f
chairman,m
chaisière,f
chaland,m
chalazion,m
chaldéen,m
châle,m
chalet,m
challenge,m
challengeur,m
chalon,m
châlonnais,m
chaloupe,f
chalut,m
chalutier-patrouilleur,m
chamade,f
chamaille,f
chamaillerie,f
chamaillis,m
chaman,m
chamanisme,m
chamarrure,f
chambard,m
chambellan,m
chamboulement,m
chambranle,m
chambre-salon,f
chambrée,f
chambrette,f
chambrière,f
chameau,m
chamelier,m
chamelle,f
chamois,m
chamoisine,f
champ',m
champenois,m
champenoise,f
champi,m
champignon,m
champignonnière,f
champion,m
championnat,m
chançard,m
chançarde,f
chancel,m
chancelier,m
chancelière,f
chancellerie,f
chanci,m
chancre,m
chand,m
chandail,m
chandeleur,f
chandelier,m
chandelle,f
change,m
changement,m
changeuse,f
chanoine,m
chanoinesse,f
chansonnette,f
chansonnier,m
chant,m
chanteau,m
chanteuse-vedette,f
chanteuse,f
chantier,m
chantilly,f
chantonnement,m
chantoung,m
chantre,m
chantrerie,f
chanvre,m
chaparral,m
chapelle,f
chapellerie,f
chapelure,f
chaperon,m
chapiteaux-dortoir,m
chapka,f
chappe,m
chapska,m
char,m
charabia,m
charade,f
charale,f
charbonnette,f
charbonnier,m
charbonnière,f
charcutage,m
charcutaille,f
charcutière,f
chardon,m
chardonay,m
chardonneret,m
charentaise,f
charge,f
chargement,m
chargeur,m
charia,f
chariot,m
charisme,m
charité,f
charlatanerie,f
charlot,m
charlotte,f
charme,m
charmeur,m
charmeuse,f
charmille,f
charnière,f
charognard,m
charognerie,f
charolaise,f
charpente,f
charpenterie,f
charpentier,m
charpie,f
charretée,f
charretière,f
charreton,m
charriage,m
charrière,f
charrieur,m
charroi,m
charron,m
chartre,f
chartreuse,f
charybde,m
chassé-croisé,m
chasse-d'eau,f
chasse-goupille,f
chasse-mouche,m
chasse-pierres,m
châsse,m
chassé,m
chasselas,m
chassie,f
châssis,m
chasteté,f
chat-huant,m
chat-tigre,m
châtaigneraie,f
châtaignier,m
château-fort,m
chateaubriand,m
châtelain,m
châtelaine,f
châtelet,m
châtellenie,f
chatière,f
châtiment,m
chatouille,f
chatouilleuse,f
chatouillis,m
châtrage,m
châtron,m
chatte,f
chattemite,f
chatterton,m
chaud-froid,m
chaud,m
chaude-pisse,f
chaude,f
chaudière,f
chaudron,m
chaudronnée,f
chaudronnerie,f
chaudronnier,m
chauffage,m
chauffagiste,m
chauffard,m
chauffe-biberon,m
chauffe-eau,m
chauffe-plats,m
chauffe,f
chaufferette,f
chaufferie,f
chauffeur-livreur,m
chauffeuse,f
chaumière,f
chaumine,f
chausse-pied,m
chausse-trappe,f
chaussée,f
chaussette,f
chausseur,m
chausson,m
chaussure,f
chauve-souris,f
chauvin,m
chauvine,f
chauvinisme,m
chaux,f
chavignol,m
chavirement,m
cheap,m
chéchia,f
check-list,f
check-up,m
cheddar,m
cheddite,f
chef-d'oeuvre,m
chef-lieu,m
chéfesse,f
cheftaine,f
chélate,m
chelem,m
chélidoine,f
chéloïde,f
chemineau,m
cheminée,f
chemise,f
chemisier,m
chênaie,f
chêne-liège,m
chêne,m
chéneau,m
chenet,m
chêneteau,m
chènevis,m
chenil,m
chenille,f
chenillette,f
cheptel,m
chèque-cadeau,m
chéquier,m
cherche-midi,m
chercheur,m
chercheuse,f
chergui,m
chéri,m
chérie,f
chérif,m
cherokee,m
chérubin,m
chester,m
chétivité,f
cheval-vapeur,m
chevalerie,f
chevalet,m
chevalier,m
chevalière,f
chevance,f
chevau-léger,m
chevauchée,f
chevauchement,m
chevaucheur,m
chevêche,f
chevelure,f
chevillage,m
chevillard,m
cheville,f
chevillette,f
cheviotte,f
chèvre,f
chevreau,m
chevrier,m
chevrière,f
chevron,m
chevrotement,m
chevrotine,f
chez-soi,m
chialerie,f
chialeur,m
chialeuse,f
chianti,m
chiasma,m
chiasme,m
chiasse,f
chic,m
chica,f
chicanerie,f
chicaneur,m
chicanier,m
chiche-kebab,m
chichi,m
chicon,m
chicorée,f
chicot,m
chicote,f
chicotin,m
chien-assis,m
chien-étoile,m
chien-loup,m
chien-robot,m
chienchien,m
chienne,f
chiennerie,f
chierie,f
chieuse,f
chiffonnade,f
chiffonnier,m
chiffonnière,f
chiffrage,m
chiffre,m
chiffrement,m
chiffres-clé,m
chiffreur,m
chiffreuse,f
chignole,f
chignon,m
chihuahua,m
chile,m
chilom,m
chimère,f
chimie,f
chimiothérapie,f
chimpanzé,m
chinchard,m
chineur,m
chinois,m
chinoise,f
chinoiserie,f
chiot,m
chiourme,f
chipie,f
chipolata,f
chipotage,m
chippendale,m
chips,f
chique,f
chiqué,m
chiquenaude,f
chiqueur,m
chiqueuse,f
chiromancie,f
chiromancien,m
chiromancienne,f
chiropracteur,m
chiropraticien,m
chiropraticienne,f
chiropratique,f
chiropraxie,f
chiroptère,m
chiroubles,m
chirurgie,f
chirurgienne,f
chisel,m
chistera,m
chitine,f
chiton,m
chiure,f
chlamyde,f
chloral,m
chloramphénicol,m
chlorate,m
chlore,m
chlorhydrate,m
chloroforme,m
chloroformisation,f
chlorophylle,f
chlorophytum,m
chloroplaste,m
chloroquine,f
chlorpromazine,f
chlorure,m
chnord,m
chnouf,f
choane,m
choc,m
chocard,m
chochotte,f
chocolaterie,f
chocolatier,m
chocolatière,f
chocotte,f
choeur,m
choix,m
cholécystectomie,f
cholécystite,f
choléra,m
cholestérol,m
choline,f
cholinestérase,f
chômage,m
chômedu,m
chômeur,m
chômeuse,f
chop suey,m
chope,f
chopine,f
choral,m
chorale,f
chorba,f
chorée,f
chorégraphie,f
choreute,m
chorizo,m
chorten,m
chorus,m
chose,f
chosification,f
chott,m
chou-palmiste,m
chou-rave,m
choucas,m
chouchou,m
chouchoutage,m
chouchoute,f
choucroute,f
chouia,m
choupette,f
chouquet,m
chouquette,f
chouraveur,m
chourineur,m
choute,f
chrême,m
chrétien,m
chrétienté,f
christiania,m
christianisme,m
christocentrisme,m
chromage,m
chromatisme,m
chromatogramme,m
chromatographie,f
chrome,m
chromosome,m
chromosphère,f
chronique,f
chroniqueur,m
chroniqueuse,f
chrono,m
chronographe,m
chronologie,f
chronométrage,m
chronomètre,m
chronométreur,m
chronophotographie,f
chrysanthème,m
chrysolite,f
chrysostome,m
chtar,m
chtibe,m
chtourbe,f
chuchoterie,f
chuchoteuse,f
chuchotis,m
chuintante,f
chulo,m
chum,m
churro,m
chute,f
chutney,m
chypre,m
cibiche,f
cibiste,m
ciblage,m
cible,f
ciboire,m
ciboule,f
ciboulot,m
cicatrisation,f
cicero,m
cicérone,m
cicindèle,f
cidrerie,f
cieux,m
cigale,f
cigalon,m
cigalou,m
cigarette,f
cigarettier,m
cigarière,f
cigarillo,m
cigogne,f
ciguë,f
cil,m
cilice,m
cillement,m
cimaise,f
cimarron,m
cime,f
ciment,m
cimenterie,f
cinabre,m
ciné-club,m
ciné-roman,m
ciné,m
cinéma-vérité,m
cinéma,m
cinémascope,m
cinémathèque,f
cinématique,f
cinématographe,m
cinématographie,f
cinémomètre,m
cinéraire,f
cinérama,m
cinétique,f
cinglage,m
cinglé,m
cinglée,f
cinglement,m
cinglon,m
cinname,m
cinoche,m
cinoque,m
cinquantaine,f
cinquante,m
cintrage,m
cipal,m
cipaye,m
cipolin,m
cippe,m
circaète,m
circassien,m
circassienne,f
circoncis,m
circoncision,f
circonférence,f
circonlocution,f
circonscription,f
circonscriptions-clé,f
circonspection,f
circonstance,f
circonvallation,f
circonvolution,f
circulaire,f
circularité,f
circulation,f
circumnavigation,f
cire,f
cireuse,f
ciron,m
cirrus,m
cirse,m
cisaillage,m
cisaille,f
cisaillement,m
ciselet,m
ciseleur,m
ciselure,f
cistercien,m
cistercienne,f
citadin,m
citadine,f
citation,f
cité-dortoir,f
cité-jardin,f
citerne,f
cithare,f
citizen band,f
citoyen,m
citoyenne,f
citrate,m
citrine,f
citron,m
citronnade,f
citronnelle,f
citronnier,m
citrouille,f
citrus,m
civadière,f
civelot,m
civet,m
civette,f
civil,m
civile,f
civilisation,f
civilité,f
civisme,m
clabaudage,m
clabauderie,f
clafouti,m
claim,m
clair,m
clairet,m
clairette,f
clairière,f
clairon,m
clam,m
clameur,f
clamp,m
clan,m
clandestin,m
clandestine,f
clandestinité,f
clap,m
clapet,m
clapette,f
clapier,m
clapot,m
clapotement,m
clapotis,m
claquage,m
claquedent,m
claquet,m
claquette,f
claqueur,m
claquoir,m
clarification,f
clarissime,m
clarté,f
classe,f
classement,m
clathre,m
claudication,f
claustrophobie,f
clavaire,f
claveau,m
clavecin,m
clavette,f
clavicule,f
clayette,f
claymore,f
clayon,m
clayonnage,m
clearing,m
clébard,m
clebs,m
clématite,f
clémence,f
clémentine,f
clenche,f
clepsydre,f
cleptomanie,f
clergé,m
clergeon,m
cléricalisme,m
cléricature,f
clermontois,m
clichage,m
cliché,m
clicherie,f
clicheur,m
client-roi,m
client,m
clientèle,f
clignement,m
clignotant,m
clignoteur,m
climatisation,f
climatiseur,m
climax,m
clin-d'oeil,m
clinche,f
clinicat,m
clinicien,m
clinicienne,f
clinker,m
clinquant,m
clip,m
clipper,m
cliquet,m
cliquètement,m
cliquetis,m
cliquette,f
clito,m
clitoridectomie,f
clitoris,m
clivage,m
cloaque,m
cloc,m
clochard,m
clocharde,f
clochardisation,f
cloche-pied,f
cloche,f
clocher,m
clochette,f
cloison,f
cloître,m
clonage,m
clopeur,m
clopinement,m
clopinettes,f
cloporte,m
clos,m
close-combat,m
close-up,m
closerie,f
clôture,f
clouage,m
cloué,m
cloueur,m
cloueuse,f
cloutage,m
cloutier,m
club-house,m
clubman,m
cluse,f
cluster,m
clystère,m
co-animateur,m
co-auteur,m
co-avocat,m
co-capitaine,m
co-dépendance,f
co-équipier,m
co-existence,f
co-président,m
co-production,f
co-propriété,f
co-proprio,m
co-tuteur,m
co-vedette,f
co-voiturage,m
coaccusé,m
coach,m
coadjuteur,m
coagulant,m
coagulation,f
coalisé,m
coalition,f
coaltar,m
coassement,m
coati,m
coaxial,m
cob,m
cobalt,m
cobaye,m
cobelligérant,m
cobol,m
cobra,m
coca-cola,m
cocagne,f
cocaïne,f
cocard,m
cocarde,f
cocasserie,f
coccinelle,f
coccyx,m
coche2,m
cochelet,m
cochenille,f
cocher,m
cochlée,f
cochon,m
cochonceté,f
cochonnaille,f
cochonnée,f
cochonnerie,f
cochonnet,m
cochylis,m
cocker,m
cockney,m
cocktail,m
cocon,m
cocoon,m
cocorico,m
cocoteraie,f
cocotier,m
cocotte-minute,f
cocotte,f
coction,f
cocu,m
cocuage,m
cocue,f
coda,f
codage,m
code-barre,m
code-clé,m
codéine,f
codes-clé,m
codétenu,m
codeur,m
codex,m
codicille,m
codification,f
codon,m
coefficient,m
coelacanthe,m
coentreprise,f
coenzyme,f
coéquipière,f
coercition,f
coeur-poumon,m
coffee shop,m
coffin,m
coffio,m
coffrage,m
coffre-fort,m
coffre,m
coffret,m
cofinancement,m
cofondatrice,f
cogérant,m
cogitation,f
cogito,m
cognac,m
cognassier,m
cogne,m
cognée,f
cognement,m
cogneur,m
cogneuse,f
cognition,f
cohabitation,f
cohérence,f
cohéritier,m
cohésion,f
cohorte,f
cohue,f
coiffe,f
coiffeur,m
coiffeuse,f
coin-repas,m
coinçage,m
coinceur,m
coïncidence,f
coinstot,m
coir,m
coït,m
coke,m
coke2,f
col-de-cygne,m
col-vert,m
col,m
colback,m
colchicine,f
colchique,m
colcotar,m
cold-cream,m
colectomie,f
colée,f
coléoptère,m
colère,f
colibacille,m
colibri,m
colifichet,m
colimaçon,m
colin-maillard,m
colin,m
colique,f
colis-cadeau,m
colis-repas,m
colistier,m
colite,f
collaborateur,m
collaboration,f
collage,m
collagène,m
collant,m
collante,f
collapsus,m
collatéral,m
collation,f
collationnement,m
collecte,f
collectif,m
collection,f
collectionneur,m
collectionneuse,f
collectivisation,f
collectivisme,m
collectivité,f
collector,m
collège,m
collégiale,f
collégialité,f
collégien,m
collégienne,f
collerette,f
collet,m
colletage,m
colletin,m
colleur,m
colleuse,f
collignon,m
collimateur,m
collimation,f
collision,f
collodion,m
colloïde,m
colloque,m
collure,f
collusion,f
collutoire,m
collyre,m
colmatage,m
colo,f
colocation,f
colombage,m
colombe,f
colombelle,f
colombien,m
colombienne,f
colombier,m
colombo,m
colombophilie,f
colon,m
côlon,m
colonel,m
colonelle,f
colonial,m
colonialisme,m
colonie,f
colonisateur,m
colonisation,f
colonisé,m
colonnade,f
colonne,f
colonnette,f
colonoscopie,f
colopathie,f
colophane,f
coloquinte,f
colorant,m
coloration,f
colorature,f
coloriage,m
colorisation,f
coloscopie,f
colosse,m
colostomie,f
colostrum,m
colportage,m
colporteuse,f
colposcopie,f
coltin,m
coltinage,m
coltineur,m
columbarium,m
colza,m
com,m
coma,m
comanche,m
comateuse,f
combat,m
combattante,f
combette,f
combinaison,f
combinard,m
combinat,m
combine,f
combiné,m
combisme,m
combo,m
combourgeois,m
combustible,m
combustion,f
comédie,f
comédien,m
comédienne,f
comédon,m
comestibilité,f
comète,f
comic book,m
comice,f
comice2,m
comitadji,m
comite,m
comité,m
command,m
commandant,m
commande,f
commandement,m
commanderie,f
commandeur,m
commandite,f
commandité,m
commando,m
commandos-suicide,m
commedia dell'arte,f
commémoration,f
commençant,m
commensal,m
commensalisme,m
comment,m
commentaire,m
commentateur,m
commentatrice,f
commérage,m
commerçant,m
commerce,m
commerciale,f
commercialisation,f
commère,f
commettant,m
commis-voyageur,m
commisération,f
commissaire-priseur,m
commissariat,m
commission,f
commissure,f
commode-toilette,f
commodité,f
commodore,m
commotion,f
commun,m
communale,f
communard,m
communauté,f
commune,f
communiant,m
communiante,f
communicabilité,f
communicant,m
communicante,f
communicateur,m
communication,f
communion,f
communiqué,m
communisme,m
commutateur,m
commutation,f
compacité,f
compactage,m
compacteur,m
compadre,m
compagne,f
compagnie,f
compagnonnage,m
comparabilité,f
comparaison,f
comparateur,m
comparatif,m
compartiment,m
compartimentage,m
comparution,f
compassion,f
compatible,m
compendium,m
compère,m
compétence,f
compétiteur,m
compétition,f
compétitivité,f
compil,f
compilateur,m
compilation,f
complainte,f
complaisance,f
complément,m
complémentarité,f
complet-veston,m
complet,m
complètement,m
complétude,f
complexe,m
complexion,f
complexité,f
complicité,f
complies,f
compliment,m
complot,m
comploteur,m
comploteuse,f
compo,f
componction,f
component,m
comporte,f
comportement,m
comportementalisme,m
composant,m
composante,f
composé,m
composeur,m
composite,m
compositeur,m
composition,f
compositrice,f
compost,m
compotier,m
comprador,m
compréhension,f
comprenette,f
compresse,f
compresseur,m
compression,f
compromis,m
compromission,f
comptabilisation,f
comptage,m
compte-rendu,m
compteur,m
comptine,f
compulsion,f
compulsoire,m
comput,m
computation,f
comté,m
comtesse,f
comtois,m
comtoise,f
con,m
conard,m
conarde,f
conasse,f
concassage,m
concasseur,m
concaténation,f
concavité,f
concédant,m
concentrateur,m
concepteur,m
conception,f
conceptrice,f
concert,m
concertation,f
concertina,m
concerto,m
concession,f
concetto,m
conciergerie,f
conciliateur,m
conciliation,f
conciliatrice,f
concision,f
concitoyen,m
concitoyenne,f
conclaviste,m
concoction,f
concombre,m
concomitance,f
concordance,f
concordat,m
concorde,f
concours,m
concret,m
concrétion,f
concrétisation,f
concubine,f
concupiscence,f
concussion,f
condamnation,f
condamné,m
condamnée,f
condensateur,m
condenseur,m
condition,f
conditionnel,m
conditionneur,m
condo,m
condoléance,f
condom,m
condominium,m
condottiere,m
conductance,f
conductibilité,f
conduction,f
conductivité,f
conductrice,f
conduit,m
conduite-intérieure,f
conduite,f
condyle,m
confection,f
confectionneuse,f
confédération,f
confédéré,m
conférence,f
conférences-débat,f
conférencier,m
conférencière,f
conférent,m
confesse,f
confesseur,m
confession,f
confessionnal,m
confetti,m
confiance,f
confidence,f
configuration,f
confinement,m
confins,m
confiote,f
confirmation,f
confiseur,m
confiseuse,f
confiteor,m
confiturier,m
confiturière,f
conflagration,f
conflit,m
confluence,f
conformation,f
conformisme,m
conformité,f
confraternité,f
confrérie,f
confrontation,f
confucianisme,m
confusion,f
confusionnisme,m
conga,f
congaï,f
congédiement,m
congélateur,m
congélation,f
congère,f
conglobation,f
conglomérat,m
congolais,m
congratulation,f
congrégation,f
conifère,m
conjecture,f
conjoint,m
conjointe,f
conjoncteur,m
conjonctif,m
conjonction,f
conjonctive,f
conjonctivite,f
conjugaison,f
conjugalité,f
conjungo,m
conjurateur,m
conjuration,f
conjuré,m
connaissance,f
connaissement,m
connaisseur,m
connaisseuse,f
connecteur,m
connectivité,f
connerie,f
connétable,m
connexion,f
connil,m
connivence,f
connotation,f
conquérant,m
conquérante,f
consacrant,m
consanguin,m
consanguine,f
consanguinité,f
consciencieuse,f
consciencieux,m
conscient,m
consécration,f
consécution,f
conseil,m
conseiller,m
conseillère,f
conseilleur,m
conséquence,f
conservateur,m
conservatoire,m
conservatrice,f
conserve,f
conserverie,f
considérant,m
considération,f
consignation,f
consigne,f
consistance,f
consistoire,m
consoeur,f
consolateur,m
consolation,f
consolatrice,f
consolidation,f
consommateur,m
consommation,f
consommé,m
consomption,f
consonance,f
consonne,f
consortium,m
consoude,f
conspirateur,m
conspiration,f
conspiratrice,f
constable,m
constance,f
constellation,f
constipation,f
constipé,m
constipée,f
constituante,f
constitutionnalité,f
constricteur,m
constrictor,m
constructeur,m
constructivisme,m
consulat,m
consultant,m
consultante,f
consulte,f
consumation,f
consumérisme,m
contacteur,m
contagieuse,f
contagieux,m
container,m
containeur,m
contaminateur,m
contemplateur,m
contemplatif,m
contemplatrice,f
contemporain,m
contemporaine,f
contempteur,m
conteneur,m
contentieux,m
contention,f
contenu,m
contestation,f
conteuse,f
contiguïté,f
continent,m
continentale,f
contingence,f
contingent,m
contingentement,m
continu,m
continuateur,m
continuité,f
contorsion,f
contournement,m
contra,m
contraception,f
contractant,m
contractuelle,f
contradicteur,m
contrainte,f
contraire,m
contralto,m
contrariété,f
contraste,m
contrat-type,m
contravention,f
contre-accusation,f
contre-alizé,m
contre-allée,f
contre-amiral,m
contre-appel,m
contre-assurance,f
contre-champ,m
contre-choc,m
contre-clé,f
contre-culture,f
contre-emploi,m
contre-épreuve,f
contre-espionnage,m
contre-exemple,m
contre-expertise,f
contre-feu,m
contre-fiche,f
contre-fil,m
contre-gré,m
contre-indication,f
contre-interrogatoire,m
contre-lame,f
contre-lettre,f
contre-manifestant,m
contre-mesure,f
contre-mine,f
contre-offensive,f
contre-ordre,m
contre-pente,f
contre-performance,f
contre-plaqué,m
contre-plongée,f
contre-pouvoir,m
contre-pression,f
contre-propagande,f
contre-proposition,f
contre-réaction,f
contre-réforme,f
contre-révolution,f
contre-terrorisme,m
contre-test,m
contre-torpilleur,m
contre-transfert,m
contre-ut,m
contre-vérité,f
contre-voie,f
contre,m
contrebandier,m
contrebandière,f
contrecoeur,m
contrecoup,m
contredanse,f
contrée,f
contrefacteur,m
contrefort,m
contremaîtresse,f
contremarche,f
contremarque,f
contrepèterie,f
contrescarpe,f
contreseing,m
contresens,m
contretemps,m
contrevallation,f
contrevent,m
contributeur,m
contribution,f
contrition,f
contrôle,m
contrôleur,m
contrôleuse,f
controverse,f
contumace,f
contusion,f
convalescence,f
convalescent,m
convalo,f
convecteur,m
convection,f
convenance,f
convenant,m
convent,m
conventicule,m
convention,f
convergence,f
conversation,f
conversion,f
converti,m
convertie,f
convertisseur,m
convexité,f
convict,m
conviction,f
convivialité,f
convocation,f
convoitise,f
convoyage,m
convoyeuse,f
convulsion,f
cookie,m
coolie-pousse,m
coolie,m
coopé,f
coopérant,m
coopérante,f
coopérateur,m
coopération,f
coopératisme,m
coopérative,f
cooptation,f
coordinateur,m
coordination,f
coordinatrice,f
coordonnateur,m
coordonné,m
coordonnée,f
cop,f
copaïba,m
copain,m
copal,m
copeau,m
copiage,m
copie,f
copieuse,f
copilote,m
copinage,m
copine,f
copla,f
coppa,f
copra,m
coprésidence,f
coprin,m
coproculture,f
coproducteur,m
coprologie,f
coprophagie,f
coprophilie,f
cops,m
copte,m
copulant,m
copulation,f
copule,f
copyright,m
coq-à-l'âne,m
coquebin,m
coquelet,m
coquelicot,m
coquelle,f
coqueluche,f
coquemar,m
coquerelle,f
coquerie,f
coqueron,m
coquetel,m
coquetier,m
coquette,f
coquetterie,f
coquillage,m
coquillard,m
coquille,f
coquillette,f
coquin,m
coquine,f
coquinerie,f
cor,m
cora,f
corail,m
coramine,f
corbeau,m
corbières,m
corbin,m
cordage,m
corde,f
cordée,f
cordelier,m
cordelière,f
cordelle,f
corderie,f
cordillère,f
cordite,f
cordoba,m
cordonnerie,f
cordonnet,m
cordonnier,m
coréen,m
coréenne,f
coriacité,f
coriandre,f
corindon,m
corinthien,m
cormier,m
cormoran,m
cornaline,f
cornée,f
cornemuseur,m
cornillon,m
cornouaillais,m
cornouille,f
cornue,f
corollaire,m
corolle,f
coron,m
corona,f
coronarien,m
coroner,m
coronille,f
corozo,m
corporal,m
corporalité,f
corporation,f
corporatisme,m
corps-mort,m
corpsard,m
corpulence,f
corpus delicti,m
corpus,m
correcteur,m
correctif,m
correction,f
correctionnelle,f
corrector,m
corregidor,m
corrélation,f
correspondance,f
correspondancier,m
correspondant,m
correspondante,f
corrida,f
corridor,m
corrigé,m
corroboration,f
corroierie,f
corrompu,m
corrosion,f
corrupteur,m
corruption,f
corruptrice,f
corselet,m
corset,m
corsetière,f
corte,f
cortège,m
cortès,f
cortine,f
cortisol,m
coruscation,f
corvée,f
corvette,f
corybante,m
coryphée,m
coryphène,m
coryste,m
coryza,m
coseigneur,m
cosinus,m
cosméticienne,f
cosmétologie,f
cosmodrome,m
cosmogonie,f
cosmographie,f
cosmologie,f
cosmos,m
cossard,m
cossarde,f
cosse,f
cossus,m
costar,m
costaud,m
costume,m
costumier,m
costumière,f
cosy-corner,m
cosy,m
cotation,f
côté,m
cote,f
coteau,m
côtelette,f
coterie,f
cothurne,m
cotisant,m
cotisation,f
côtoiement,m
coton,m
cotonéaster,m
cotonnade,f
cotonnerie,f
cotonnier,m
cotonnière,f
cotret,m
cotriade,f
cottage,m
cotylédon,m
cou,m
couac,m
couaille,f
couardise,f
couchant,m
couche-culotte,f
couché,m
coucherie,f
coucheuse,f
couchoir,m
coucou,m
coude,m
coudée,f
coudreuse,f
couenne,f
couette,f
couguar,m
couic,m
couillard,m
couille,f
couillette,f
couillon,m
couillonnade,f
coulant,m
coulé,m
coulée,f
coulemelle,f
couleuvrine,f
coulisse,f
coulissement,m
coulissier,m
couloir-symbole,m
coulomb,m
coulpe,f
coulure,f
coumarine,f
coup-de-pied,m
coup-de-poing,m
coupage,m
coupe-chou,m
coupe-cigare,m
coupe-circuit,m
coupe-coupe,m
coupe-faim,m
coupe-feu,m
coupe-file,m
coupe-jarret,m
coupe-ongle,m
coupe-papier,m
coupe-pâte,m
coupe-racine,m
coupe-vent,m
coupe,f
coupé,m
coupée,f
coupelle,f
coupeuse,f
couplage,m
couplé,m
couplet,m
coupleur,m
coupon-cadeau,m
couque,f
cour-jardin,f
courant,m
courante,f
courbe,f
courbette,f
courbure,f
courette,f
coureur,m
coureuse,f
courge,f
courgette,f
courlis,m
courriel,m
courroie,f
course-poursuite,f
coursière,f
coursive,f
court-circuit,m
court-courrier,m
court-jus,m
court-métrage,m
courtaud,m
courtaude,f
courtepointe,f
courtière,f
courtil,m
courtilière,f
courtisane,f
courtoisie,f
couscous,m
couseuse,f
cousin,m
cousinage,m
cousine,f
coussinet,m
couteau-scie,m
coutelier,m
coutellerie,f
coutumier,m
couture,f
couturière,f
couvade,f
couvaison,f
couvée,f
couvent,m
couventine,f
couvercle,m
couvert,m
couverture,f
couvet,m
couvre-chef,m
couvre-feu,m
couvre-lit,m
couvre-pied,m
covenant,m
cover-girl,f
cow-boy,m
coxalgie,f
coyote,m
crabe,m
crabillon,m
crac,m
crachat,m
crachement,m
cracheur,m
cracheuse,f
crachin,m
crachoir,m
crachotement,m
crachouillis,m
cracker,m
cracking,m
craie,f
crainte,f
cramouille,f
crampette,f
cran,m
crânerie,f
crâneur,m
crâneuse,f
craniométrie,f
craniotomie,f
crapaud-buffle,m
crapouillot,m
crapulerie,f
craquage,m
craquée,f
craquèlement,m
craquelin,m
craquelure,f
craquement,m
crase,f
crash-test,m
crasse,f
crassier,m
crassula,f
crataegus,m
cratère,m
cravache,f
cravant,m
cravatage,m
cravate,f
cravateur,m
cravatière,f
crawl,m
crayon-encre,m
crayon,m
crayonnage,m
crayonneur,m
crayons-feutre,m
créance,f
créancier,m
créateur,m
créatif,m
créatine,f
créatinine,f
création,f
créationnisme,m
créative,f
créativité,f
créatrice,f
créature,f
crécelle,f
crécerelle,f
crécy,f
crédence,f
crédibilité,f
crédit-bail,m
crédit,m
créditeur,m
credo,m
crédulité,f
creek,m
crémaillère,f
crémant,m
crémateur,m
crémation,f
crématoire,m
crematorium,m
crématorium,m
crémerie,f
crémier,m
crémière,f
crémone,f
créneau,m
créosote,f
crêpage,m
crêpelure,f
crépi,m
crépin,m
crépine,f
crépinette,f
crépissage,m
crépitation,f
crépitement,m
crépon,m
crépuscule,m
créquier,m
crescendo,m
crésol,m
cresson,m
cressonnette,f
cressonnière,f
crésus,m
crésyl,m
crêt,m
crétacé,m
crête-de-coq,f
crête,f
crételle,f
crétin,m
crétine,f
crétinerie,f
crétinisation,f
crétinisme,m
crétois,m
crétoise,f
creton,m
cretonne,f
creuset,m
creuseur,m
creux,m
crevage,m
crevaison,f
crevarde,f
crevasse,f
crevette,f
crevettier,m
cri,m
criaillement,m
crib,m
criblage,m
cricket,m
criée,f
crieur,m
crieuse,f
crime,m
criminelle,f
criminologie,f
crinoline,f
crique,f
criquet,m
cris-craft,m
crise,f
crispation,f
crispin,m
crissement,m
cristal,m
cristallerie,f
cristallin,m
cristallisation,f
cristallographie,f
cristallomancie,f
critère,m
critérium,m
croassement,m
crobard,m
croche-patte,m
croche-pied,m
croche,f
crochet,m
crochetage,m
crocheteur,m
croco,m
crocodile,m
crocus,m
croisade,f
croisé,m
croisée,f
croisement,m
croiseur,m
croisière,f
croissant,m
croît,m
croix,f
cromlech,m
cromorne,m
croquant,m
croque-madame,m
croque-mitaine,m
croque-monsieur,m
croquemort,m
croquenot,m
croquet,m
croqueton,m
croquette,f
croqueur,m
croqueuse,f
croquis-minute,m
croquis,m
crosne,m
cross-country,m
cross,m
crosse,f
crossman,m
crotale,m
croton,m
crottin,m
crouillat,m
croulante,f
croule,f
croulement,m
croup,m
croupade,f
croupe,f
croupier,m
croupière,f
croupion,m
croupissoir,m
croupissure,f
croupon,m
croustade,f
croustillance,f
croustille,f
croustillon,m
croûte,f
croûton,m
crown,m
croyant,m
croyante,f
cru,m
cruauté,f
cruche,f
cruchon,m
crucifère,f
crucifié,m
crucifiement,m
crucifixion,f
crudité,f
cruiser,m
crumble,m
crustacé,m
çruti,m
cruzeiro,m
cryofracture,f
cryogénie,f
cryogénisation,f
cryotechnique,f
cryptage,m
crypto,m
