phon,gen
kyltivatʁis,f
kyltyʁalizm,m
kyltyʁizm,m
kymɛ̃,m
kymyl,m
kymylaʁ,m
kymylasjɔ̃,f
kymylOnɛ̃bys,m
kymylys,m
kynilɛ̃ktys,m
kynilɛ̃gys,m
kypidite,f
kypidɔ̃,m
kypʁEsy,m
kypʁOnikɛl,m
kypyl,f
kyʁaʒ,m
kyʁaj,f
kyʁajɔ̃,m
kyʁatœʁ,m
kyʁatif,m
kyʁatʁis,f
kyʁkyma,m
kyʁəpip,m
kyʁe,m
kyʁe,f
kyʁətaʒ,m
kyʁɛt,f
kyʁjøz,f
kyʁjø,m
kyʁjOzite,f
kœʁliŋ,m
kyʁikylɔmvite,m
kyʁikylɔm,m
kyʁi,m
kyʁsœʁ,m
kyʁsiv,f
kyʁsys,m
kyʁvimɛtʁ,m
kystɔd,f
kœstɔm,m
kytiʁEaksjɔ̃,f
kyti,f
kytikyl,f
kyv,f
kyvɛt,f
kyvje,m
sjɑ̃,m
sjanOakʁilat,m
sjanObaktEʁi,f
sjanOʒɛn,m
sjanoz,f
sibɛʁkafe,m
sibɛʁEspas,m
sibɛʁmɔ̃d,m
sibɛʁnEtisjɛ̃,m
sibɛʁnEtik,f
sibɛʁspɛjs,m
sikas,m
siklamɛn,m
sikl,m
siklizm,m
siklOkʁɔs,m
siklopus,m
siklOmOtœʁ,m
siklon,m
siklɔp,m
siklOpus,m
siklOʁama,m
siklOspOʁin,f
siklOstom,m
siklOtimi,f
siklOtʁɔ̃,m
siɲ,m
silɛ̃dʁe,f
sɛ̃bal,f
sɛ̃balɔm,m
sinEʒEtik,f
sinips,m
sino,m
sinOsEfal,m
sinOdʁom,m
sifOskOljoz,f
sifoz,f
sipʁinide,m
siʁaʁ,m
sistit,f
sistOtOmi,f
sitiz,m
sitOlOʒi,f
sitOmEgalOviʁys,m
sitOplasm,m
sitOzin,f
kzaʁ,m
kzaʁdas,f
d,m
dab,m
daba,f
daʃ,m
dakʁɔ̃,m
daktil,m
daktilOgʁafi,f
daktilOptɛʁ,m
daktilOskOpi,f
dada,m
dadɛ,m
dadaizm,m
dag,f
dagEʁEOtip,m
dagɛ,m
day,m
daimjos,m
dɛn,f
dakɛ̃,m
dal,m
dalailama,m
dal,f
dalmasjɛ̃,m
dalmasjɛn,f
dalmatik,f
daltɔn,m
daltOnjɛ̃,m
daltOnizm,m
dɑ̃,m
damaʒ,m
damaskɛ̃,m
damaskinaʒ,m
damaskinəʁi,f
damaskinyʁ,f
daməʒan,f
daməʁɛ,m
#DEF#,f
damje,m
danasjɔ̃,f
dane,m
dane,f
damwazo,m
damwazɛl,f
dan,m
danaid,f
dɑ̃di,m
dɑ̃dizm,m
dɑ̃ʒəʁOzite,f
dano,m
danwaz,f
dɑ̃s,f
dɑ̃sœʁ,m
dɑ̃søz,f
dao,m
dafne,m
daʁs,f
daʁjɔl,f
daʁn,f
daʁɔ̃,m
daʁɔn,f
daʁtʁ,f
dazɛ̃,m
dataʒ,m
datʃa,f
datœʁ,m
datif,m
datyʁa,m
dob,f
dObjɛʁ,f
dOfɛ̃,m
dOfina,m
dOfin,f
dOʁad,f
davje,m
daja,f
dEse,m
dEamikis,m
depʁOfundis,m
desɑ̃tis,m
de,m
dil,m
dEɑ̃bylatœʁ,m
dEɑ̃bylasjɔ̃,f
dEɑ̃bylatwaʁ,m
dEbakl,f
dEbagulaʒ,m
dEbalaʒ,m
dEbalOnaʒ,m
dEbɑ̃dad,f
dEbaʁbo,m
dEbaʁbujɛt,f
dEbaʁkadɛʁ,m
dEbaʁdaʒ,m
dEbaʁdœʁ,m
dEbaʁkəmɑ̃,m
dEbaʁa,m
dEba,m
dEbatœʁ,m
dEbaty,f
dEboʃ,f
dEbOʃe,m
dEbOʃœʁ,m
dEbEktaʒ,m
dEbEktɑ̃s,f
dEbilitasjɔ̃,f
dEbilite,f
dEbin,f
dEbinœʁ,m
dEbinøz,f
dEbi,m
dEbitaʒ,m
dEbitɑ̃,m
dEbit,f
dEbitœʁ,m
dEblɛ,m
dEblEmɑ̃,m
dEblatEʁasjɔ̃,f
dEblEjaʒ,m
dEblEjœʁ,m
dEblOkaʒ,m
dEbObinaʒ,m
dEbOgaʒ,m
dEbwaʁ,m
dEbwazəmɑ̃,m
dEbwatəmɑ̃,m
dEbɔʁ,m
dEbɔʁdəmɑ̃,m
dEbOte,m
dEbuʃaʒ,m
dEbuʃe,m
dEbuʃœʁ,m
dEbuʃwaʁ,m
dEbule,m
dEbuʁaʒ,m
dEbuʁ,m
dEbuʁsəmɑ̃,m
dEbutOnaʒ,m
dEbʁaje,m
dEbʁaje,f
dEbʁɑ̃ʃəmɑ̃,m
dEbʁEjaʒ,m
dEbʁidəmɑ̃,m
dEbʁifiŋ,m
dEbʁi,m
dEbʁujaʒ,m
dEbʁujaʁ,m
dEbʁujaʁd,f
dEbʁujaʁdiz,f
dEbʁuj,f
dEbʁujœʁ,m
dEbʁusajaʒ,m
dEbʁusajøz,f
dEbyʃe,m
dEby,m
dEbytɑ̃,m
dEbytɑ̃t,f
dEka,m
dEkaʃətaʒ,m
dEkad,f
dEkadɑ̃s,f
dEkadɑ̃,m
dEkadɑ̃t,f
dEkadɑ̃tizm,m
dEkadi,m
dEkafEine,m
dEkɛsəmɑ̃,m
dEkalaʒ,m
dEkalsifikasjɔ̃,f
dEkalkOmani,f
dEkalitʁ,m
dEkalɔg,m
dEkalk,m
dEkamɛtʁ,m
dEkɑ̃,m
dEkɑ̃tasjɔ̃,f
dEkɑ̃tœʁ,m
dEkapaʒ,m
dEkapɑ̃,m
dEkapœʁ,m
dEkapitasjɔ̃,f
dEkapɔd,m
dEkapOtabl,f
dEkapOtaʒ,m
dEkapsylœʁ,m
dEkaʁpijaʒ,m
dEkaʁad,f
dEkatlɔ̃,m
dEkave,m
dəka,m
dEsElEʁasjɔ̃,f
dEsɑ̃bʁ,m
dEsɑ̃s,f
dEsEni,f
dEsɑ̃tʁalizasjɔ̃,f
dEsɑ̃tʁəmɑ̃,m
dEsEpsjɔ̃,f
dEsEʁEbʁasjɔ̃,f
dEsɛʁvəlaʒ,m
dEsɛ,m
dEʃEne,m
dEʃɛnəmɑ̃,m
dEʃaʁ,m
dEʃaʁʒ,f
dEʃaʁʒəmɑ̃,m
dEʃaʁʒœʁ,m
dEʃaʁnəmɑ̃,m
dɛʃ,f
dEʃEɑ̃s,f
dEʃɛ,m
dEʃɛtəʁi,f
dEʃifʁaʒ,m
dEʃifʁəmɑ̃,m
dEʃifʁœʁ,m
dEʃikətaʒ,m
dEʃikətœʁ,m
dEʃikətøz,f
dEʃiʁaʒ,m
dEʃiʁəmɑ̃,m
dEʃiʁœʁ,m
dEʃiʁyʁ,f
dEsi,m
dEsibɛl,m
dEsidœʁ,m
dEsigʁam,m
dEsil,m
dEsilitʁ,m
dEsimalizasjɔ̃,f
dEsimalite,f
dEsimatœʁ,m
dEsimasjɔ̃,f
dEsim,m
dEsimɛtʁ,m
dEsizjɔ̃kle,f
dEsizjɔ̃,f
dɛk,m
dEklamasjɔ̃,f
dEklamatʁis,f
dEklaʁasjɔ̃,f
dEklase,m
dEklasəmɑ̃,m
dEklɑ̃ʃ,f
dEklɑ̃ʃəmɑ̃,m
dEklɑ̃ʃœʁ,m
dEklik,m
dEklɛ̃,m
dEklinEzɔ̃,f
dEklivite,f
dEkOʃøz,f
dEkOksjɔ̃,f
dEkOdaʒ,m
dEkOdœʁ,m
dEkOdøz,f
dEkOfʁaʒ,m
dEkwɛ̃saʒ,m
dEkOlaʒ,m
dEkOlasjɔ̃,f
dEkɔləmɑ̃,m
dEkɔləte,m
dEkOlOnizasjɔ̃,f
dEkOlOʁɑ̃,m
dEkOlOʁasjɔ̃,f
dEkɔ̃bʁ,m
dEkɔ̃pɑ̃sasjɔ̃,f
dEkɔ̃pOzœʁ,m
dEkɔ̃pOzisjɔ̃,f
dEkɔ̃pʁEsjɔ̃,f
dEkɔ̃t,m
dEkɔ̃sɑ̃tʁasjɔ̃,f
dEkɔ̃disjɔnəmɑ̃,m
dEkɔ̃fityʁ,f
dEkɔ̃ʒElasjɔ̃,f
dEkɔ̃ʒEstif,m
dEkɔ̃ʒEstjɔ̃,f
dEkOnaʒ,m
dEkOnEksjɔ̃,f
dEkOnœʁ,m
dEkOnøz,f
dEkOnOmɛtʁ,m
dEkOnofɔn,m
dEkɔ̃sidEʁasjɔ̃,f
dEkɔ̃stʁyksjɔ̃,f
dEkɔ̃taminasjɔ̃,f
dEkɔ̃tʁakte,m
dEkɔ̃tʁaksjɔ̃,f
dEkɔ̃vəny,f
dEkɔʁ,m
dEkOʁatœʁ,m
dEkOʁasjɔ̃,f
dEkOʁatʁis,f
dEkɔʁtikaʒ,m
dEkɔʁtikasjɔ̃,f
dEkOʁɔm,m
dEkupaʒ,m
dEkup,f
dEkupœʁ,m
dEkupøz,f
dEkuplaʒ,m
dEkupyʁ,f
dEkuʁaʒəmɑ̃,m
dEkuʁ,m
dEkuvɛʁ,m
dEkuvɛʁt,f
dEkuvʁœʁ,m
dEkuvʁøz,f
dEkʁasaʒ,m
dEkʁEpaʒ,m
dEkʁEpityd,f
dEkʁEʃɛndo,m
dEkʁɛlwa,m
dEkʁɛ,m
dEkʁi,m
dEkʁOʃaʒ,m
dEkʁɔʃəmɑ̃,m
dEkʁOʃemwasa,m
dEkʁwasɑ̃s,f
dEkʁwa,m
dEkʁOtaʒ,m
dEkʁOtwaʁ,m
dEkʁy,f
dEkʁiptaʒ,m
dEkʁiptœʁ,m
dEsy,m
dEsy,f
dEkylOte,m
dEkylOte,f
dEdEɲøz,f
dEdɛ̃,m
dEdal,m
dədɑ̃,m
dEdikas,f
dEdi,m
dEdOmaʒəmɑ̃,m
dEdwanəmɑ̃,m
dEdubləmɑ̃,m
dEdyktœʁ,m
dEdyktibilite,f
dEdyksjɔ̃,f
dEdɥi,m
dEɛs,f
dEfajɑ̃s,f
dEfɛt,f
dEfEtizm,m
dEfo,m
dEfavœʁ,f
dEfavOʁize,m
dEfavOʁize,f
dEfEkasjɔ̃,f
dEfEksjɔ̃,f
dEfEktɥOzite,f
dEfɑ̃dœʁ,m
dEfɑ̃,m
dEfənEstʁasjɔ̃,f
dEfɑ̃s,f
dEfɑ̃sœʁ,m
dEfɑ̃siv,f
dEfEʁɑ̃s,f
dEfɛʁlɑ̃t,f
dEfɛʁləmɑ̃,m
dEfi,m
dEfjɑ̃s,f
dEfibʁœʁ,m
dEfibʁilatœʁ,m
dEfibʁilasjɔ̃,f
dEfisjɑ̃s,f
dEfisjɑ̃,m
dEfisit,m
dEfigyʁasjɔ̃,f
dEfigyʁəmɑ̃,m
dEfile,m
dEfiləmɑ̃,m
dEfini,m
dEfinisjɔ̃,f
dEfiskalizasjɔ̃,f
dEflagʁasjɔ̃,f
dEflEktœʁ,m
dEflEksjɔ̃,f
dEflOʁEzɔ̃,f
dEflOʁasjɔ̃,f
dEfOljɑ̃,m
dEfɔ̃s,f
dEføsəmɑ̃,m
dEfɔ̃søz,f
dEfOʁEstasjɔ̃,f
dEfɔʁmasjɔ̃,f
dEfuləmɑ̃,m
dEfulwaʁ,m
dEfʁagmɑ̃tœʁ,m
dEfʁEmɑ̃,m
dEfʁiʃaʒ,m
dEfʁiʃəmɑ̃,m
dEfʁiʃœʁ,m
dEfʁizaʒ,m
dEfʁɔk,f
dEfʁOke,m
dEfœ̃,m
dEfœ̃t,f
dEgaʒe,m
dEgaʒəmɑ̃,m
dEgɛn,f
dEga,m
dEgOʃisøz,f
dEgazaʒ,m
dEʒɛl,m
dEʒəle,f
dEʒEnEʁasjɔ̃,f
dEʒEnEʁe,m
dEʒEnEʁe,f
dEʒEnEʁEsɑ̃s,f
dEʒivʁaʒ,m
dEglɛ̃g,f
dEglytisjɔ̃,f
dEgObijaʒ,m
dEgOmaʒ,m
dEgɔ̃flaʒ,m
dEgɔ̃flaʁ,m
dEgɔ̃fle,m
dEgɔ̃fle,f
dEgɔ̃fləmɑ̃,m
dEgɔʁʒəmɑ̃,m
dEgulinad,f
dEgulinəmɑ̃,m
dEgulinyʁ,f
dEguʁdi,m
dEguʁdi,f
dEgu,m
dEgutɑ̃,m
dEgutɑ̃t,f
dEgutasjɔ̃,f
dEgute,m
dEgute,f
dEgʁadasjɔ̃,f
dEgʁade,m
dEgʁafœʁ,m
dEgʁEsaʒ,m
dEgʁEsɑ̃,m
dəgʁe,m
dEgʁɛvəmɑ̃,m
dEgʁifœʁ,m
dEgʁɛ̃gOlad,f
dEgʁizəmɑ̃,m
dEgʁOsisaʒ,m
dEgənije,f
dEgØlɑ̃do,m
dEgØlasəʁi,f
dEgØli,m
dEgize,m
dEgize,f
dEgizəmɑ̃,m
dEgystatœʁ,m
dEgystasjɔ̃,f
dEgystatʁis,f
dEɑ̃ʃəmɑ̃,m
dEisɑ̃s,f
dEifikasjɔ̃,f
dEism,m
dEite,f
dEʒavy,m
dEʒEksjɔ̃,f
dEʒəne,m
dEkulakizasjɔ̃,f
dElabʁəmɑ̃,m
dElɛ,m
dElEse,m
dElEse,f
dElɛsəmɑ̃,m
dElasəmɑ̃,m
dElatœʁ,m
dElasjɔ̃,f
dElEjaʒ,m
dɛlko,m
dElEktasjɔ̃,f
dElEgasjɔ̃,f
dElEgegEnEʁal,m
dElEge,m
dElEge,f
dElEstaʒ,m
dElibEʁasjɔ̃,f
dElibEʁe,m
dElika,m
dElikatɛs,f
dElis,m
dElje,m
dElimitasjɔ̃,f
dElinEamɑ̃,m
dElɛ̃kɑ̃s,f
dElɛ̃kɑ̃,m
dElikEsɑ̃s,f
dEliʁ,m
dEliʁjɔmtʁEmɛ̃s,m
dEliʁjɔm,m
dEli,m
dElivʁɑ̃s,f
dElivʁ,m
dElivʁœʁ,m
dElafʁɑ̃tʃEska,m
dElapɔʁta,m
dElaʁObja,m
dElOkalizasjɔ̃,f
dElwajOte,f
dɛlfinide,m
dElfinjɔm,m
dɛltaplan,m
dɛltOid,m
dElyʒ,m
dEmagOʒi,f
dəmɛ̃,m
dəmɑ̃døz,f
dEmɑ̃ʒEzɔ̃,f
dEmɑ̃tɛləmɑ̃,m
dEmakijaʒ,m
dEmakijɑ̃,m
dEmaʁkasjɔ̃,f
dEmaʁʃaʒ,m
dEmaʁʃ,f
dEmaʁʃœʁ,m
dEmaʁʃøz,f
dEmaʁaʒ,m
dEmaʁœʁ,m
dEmaskaʒ,m
dEmatEʁjalizasjɔ̃,f
dɛm,m
dEmElaʒ,m
dEmElɑ̃,m
dEmEle,m
dEmElwaʁ,m
dEmɑ̃bʁəmɑ̃,m
dEmEnaʒəmɑ̃,m
dEmEnaʒœʁ,m
dEmEnaʒøz,f
dEmɑ̃s,f
dEmɑ̃,m
dEmɑ̃t,f
dEmɑ̃ti,m
dEmɛʁdaʁ,m
dEmɛʁd,f
dEmEʁit,m
dEməzyʁ,f
dəmœʁ,f
dəmØʁe,m
dəmiba,m
dəmibOnœʁ,m
dəmibɔt,f
dəmibutɛj,f
dəmibʁigad,f
dəmisɑ̃,m
dəmisɑ̃timɛtʁ,m
dəmisɑ̃tʁ,m
dəmisɛʁkl,m
dəmiʃagʁɛ̃,m
dəmiklɛʁ,m
dəmiklaʁte,f
dəmiklwazɔ̃,f
dəmikOma,m
dəmikɔ̃fidɑ̃s,f
dəmikɔ̃sjɑ̃s,f
dəmisilɛ̃dʁ,m
dəmidəgʁe,m
dəmidœj,m
dəmidoz,f
dəmiduzɛn,f
dəmiEʃɛk,m
dəmifigyʁ,f
dəmifɔ̃,m
dəmifu,m
dəmigʁo,m
dəmiœʁ,f
dəmiʒuʁ,m
dəmiʒɥif,m
dəmikilOmɛtʁ,m
dəmilibɛʁte,f
dəmilitʁ,m
dəmilivʁ,f
dəmilɔ̃gœʁ,f
dəmilwi,m
dəmilɥœʁ,f
dəmilymjɛʁ,f
dəmilyn,f
dəmilyks,m
dəmimal,m
dəmimɑ̃sɔ̃ʒ,m
dəmimil,m
dəmimiljaʁ,m
dØmimilimɛtʁ,m
dəmimiljɔ̃,m
dəmiminyt,f
dəmimwa,m
dəmimɔ̃dɛn,f
dəmimɔ̃d,m
dəmimɔʁt,f
dəmimo,m
dəmimɥi,m
dəminy,m
dəminɥi,f
dəmiɔpskyʁite,f
dəmiuvʁije,m
dəmipaʒ,f
dəmipaʁ,f
dəmipa,m
dəmipjɛs,f
dəmipje,m
dəmipɛ̃t,f
dəmiplas,f
dəmipwɛ̃,m
dəmipwɛ̃t,f
dəmipɔʁt,f
dəmipus,m
dəmikaʁ,m
dəmikø,m
dəmiʁEysit,f
dəmiʁɛv,m
dəmiʁEvEʁɑ̃s,f
dəmiʁɔ̃d,f
dəmisEzɔ̃,f
dəmisəgɔ̃d,f
dəmisEksjɔ̃,f
dəmisɛl,m
dəmisjɛkl,m
dəmisœʁ,f
dəmisɔld,f
dəmisOmɛj,m
dəmisOmnOlɑ̃s,f
dəmisuʁiʁ,m
dəmisyksɛ,m
dəmisɥisid,m
dəmitalɑ̃,m
dəmitaʁif,m
dəmitas,f
dəmitɛ̃t,f
dəmitɛt,f
dəmitOno,m
dəmituʁ,m
dəmivEʁite,f
dəmivɛʁ,m
dəmivɛʁty,f
dəmivi,f
dəmivjɛʁʒ,f
dəmivOle,f
dəmivɔlt,f
dəmivOlym,m
dəmi,m
dəmi,f
dEmilitaʁizasjɔ̃,f
dEminaʒ,m
dEminœʁ,m
dEmisjɔ̃,f
dEmjyʁʒ,m
dEmObilizasjɔ̃,f
dEmObilize,m
dEmOkʁasi,f
dEmOkʁatizasjɔ̃,f
dEmOdylatœʁ,m
dEmOgʁafi,f
dəmwazɛl,f
dEmOlisœʁ,m
dEmOlisøz,f
dEmOlisjɔ̃,f
dEmɔ̃,m
dEmOnOlOʒi,f
dEmOnOmani,f
dEmɔ̃stʁatœʁ,m
dEmɔ̃stʁatif,m
dEmɔ̃stʁasjɔ̃,f
dEmɔ̃stʁatʁis,f
dEmɔ̃taʒ,m
dEmɔ̃təpnø,m
dEmOʁalizatœʁ,m
dEmOʁalizasjɔ̃,f
dEmOtivasjɔ̃,f
dEmyltiplikatœʁ,m
dEmyltiplikasjɔ̃,f
dEmyni,m
dEmyni,f
dEmistifikatøʁ,m
dEmistifikasjɔ̃,f
dEnatalite,f
dEnatyʁasjɔ̃,f
dEnatyʁe,m
dEnatyʁe,f
dEnazifikasjɔ̃,f
dɑ̃dʁit,f
dEnEgasjɔ̃,f
dEnEʒəmɑ̃,m
dEnɛʁvasjɔ̃,f
dɛ̃g,f
dEni,m
dEnjEzəmɑ̃,m
dEniʃœʁ,m
dEniʃøz,f
dənje,m
dEnigʁəmɑ̃,m
dEnigʁøz,f
dənim,m
dEnivəle,m
dEnivElasjɔ̃,f
dEnɔ̃bʁəmɑ̃,m
dEnOminatœʁ,m
dEnOminasjɔ̃,f
dEnOme,m
dEnɔ̃sjatœʁ,m
dEnɔ̃sjasjɔ̃,f
dEnɔ̃sjatʁis,f
dEnumɑ̃,m
dEnwajOtœʁ,m
dɑ̃ʁe,f
dɑ̃simɛtʁ,m
dɑ̃site,f
dɑ̃dəljɔ̃,f
dɑ̃,f
dɑ̃tɛʁ,f
dɑ̃tɛl,f
dɑ̃təlyʁ,f
dɑ̃tje,m
dɑ̃tistəʁi,f
dEnydasjɔ̃,f
dEnymɑ̃,m
dEOgʁatja,m
dEOdOʁɑ̃,m
dEɔ̃tOlOʒi,f
dEpanaʒ,m
dEpanœʁ,m
dEpanøz,f
dEpaʁ,m
dEpaʁtəmɑ̃,m
dEpaʁtəmɑ̃tal,f
dEpasɑ̃,m
dEpasəmɑ̃,m
dEpEizəmɑ̃,m
dEpəsaʒ,m
dEpɛsəmɑ̃,m
dEpəsœʁ,m
dEpɛʃ,f
dEpənaje,m
dEpənaje,f
dEpənajəmɑ̃,m
dEpɑ̃dɑ̃s,f
dEpɑ̃dœʁ,m
#DEF#,m
dEpɑ̃s,f
dEpɑ̃sje,m
dEpɑ̃sjɛʁ,f
dEpɛʁdisjɔ̃,f
dEpEʁisəmɑ̃,m
dEpɛʁsOnalizasjɔ̃,f
dEfazaʒ,m
dEfazœʁ,m
dEpigmɑ̃tasjɔ̃,f
dEpikaʒ,m
dEpistaʒ,m
dEpi,m
dEplase,m
dEplase,f
dEplasəmɑ̃,m
dEplEziʁ,m
dEplɑ̃twaʁ,m
dEplijɑ̃,m
dEplimɑ̃,m
dEplwamɑ̃,m
dEplOʁasjɔ̃,f
dEpOlysjɔ̃,f
dEpOpylasjɔ̃,f
dEpɔʁ,m
dEpɔʁtasjɔ̃,f
dEpɔʁte,m
dEpɔʁtəmɑ̃,m
dEpOzɑ̃,m
dEpoz,f
dEpOzisjɔ̃,f
dEpOsEsjɔ̃,f
dEpOvɑ̃t,m
dEpo,m
dEpOtwaʁ,m
dEpujaʒ,m
dEpuj,f
dEpujəmɑ̃,m
dEpusjEʁaʒ,m
dEpʁavasjɔ̃,f
dEpʁave,m
dEpʁEsjasjɔ̃,f
dEpʁEdatœʁ,m
dEpʁEdasjɔ̃,f
dEpʁEsif,m
dEpʁEsjɔ̃,f
dEpʁEsyʁizasjɔ̃,f
dEpʁim,f
dEpʁime,m
dEpʁime,f
dEpʁOgʁamasjɔ̃,f
dEpysəlaʒ,m
dEpysəlœʁ,m
dEpyʁatif,m
dEpytasjɔ̃,f
dEpytemɛʁ,m
dEpyte,m
dEʁasine,m
dEʁasine,f
dEʁasinəmɑ̃,m
dEʁajəmɑ̃,m
dEʁajœʁ,m
dEʁEzɔ̃,f
dEʁɑ̃ʒe,m
dEʁɑ̃ʒəmɑ̃,m
dEʁapaʒ,m
dEʁate,m
dEʁate,f
dEʁatizasjɔ̃,f
dɛʁʃ,m
dEʁEglaʒ,m
dEʁɛgləmɑ̃,m
dEʁEgləmɑ̃tasjɔ̃,f
dEʁEgylasjɔ̃,f
dEʁEliksjɔ̃,f
dEʁEspɔ̃sabilizasjɔ̃,f
dEʁizjɔ̃,f
dEʁivatif,m
dEʁivasjɔ̃,f
dEʁiv,f
dEʁive,m
dEʁive,f
dEʁivœʁ,m
dɛʁmatit,f
dɛʁmatOglif,m
dɛʁmatOlOʒi,f
dɛʁmatoz,f
dɛʁm,m
dɛʁmɛst,m
dɛʁmit,f
dɛʁmOgʁafi,f
dɛʁnjene,m
dɛʁnjɛʁne,f
dɛʁnjɛʁ,f
dEʁObad,f
dEʁOgasjɔ̃,f
dEʁuje,f
dEʁujəmɑ̃,m
dEʁuləmɑ̃,m
dEʁulœʁ,m
dEʁuløz,f
dEʁutaʒ,m
dEʁut,f
dEʁutəmɑ̃,m
dEʁik,m
dɛʁjɛʁ,m
dɛʁviʃ,m
dEzabɔnəmɑ̃,m
dEzabyze,m
dEzabyze,f
dEzabyzəmɑ̃,m
dEzakɔʁ,m
dEsakʁalizasjɔ̃,f
dEzaktivasjɔ̃,f
dEzafEktasjɔ̃,f
dEzafEksjɔ̃,f
dEzagʁEgasjɔ̃,f
dEzagʁEmɑ̃,m
dEzaljEnasjɔ̃,f
dEsalinizasjɔ̃,f
dEzamjɑ̃taʒ,m
dEzaminaz,f
dEzamɔʁsaʒ,m
dEzamuʁ,m
dEzapwɛ̃te,m
dEzapwɛ̃te,f
dEzapwɛ̃təmɑ̃,m
dEzapʁObasjɔ̃,f
dEzaʁʒɑ̃te,m
dEzaʁməmɑ̃,m
dEzaʁimaʒ,m
dEzaʁwa,m
dEzaʁtikylasjɔ̃,f
dEzastʁ,m
dEzavɑ̃taʒ,m
dEzavø,m
dEzakse,m
dEzakse,f
dEzaksəmɑ̃,m
dEskamizado,m
dEsɑ̃dɑ̃s,f
dEsɑ̃dɑ̃,m
dEsɑ̃dɑ̃t,f
dEsɑ̃dœʁ,m
dEsɑ̃sœʁ,m
dEsɑ̃t,f
dEskʁiptif,m
dEskʁipsjɔ̃,f
dEzEgʁEgasjɔ̃,f
dEzɑ̃paʁe,m
dEzɑ̃paʁe,f
dEzɑ̃ʃɛnəmɑ̃,m
dEzɑ̃ʃɑ̃te,m
dEzɑ̃ʃɑ̃təmɑ̃,m
dEzɑ̃klavəmɑ̃,m
dEzɑ̃gaʒəmɑ̃,m
dEsɑ̃sibilizasjɔ̃,f
dEzɑ̃vutœʁ,m
dEzEkilibʁ,m
dEzEkilibʁe,m
dEzEkilibʁe,f
dEzɛʁ,m
dEzɛʁtœʁ,m
dEzɛʁsjɔ̃,f
dEzEspEʁɑ̃s,f
dEzEspEʁe,m
dEzEspEʁe,f
dEzEspwaʁ,m
dEzabijaʒEklɛʁ,m
dEzabijaʒ,m
dEzabije,m
dEzaʁmOni,f
dEzɛʁbaʒ,m
dEzɛʁbɑ̃,m
dEzEʁɑ̃s,f
dEzEʁite,m
dEzOnœʁ,m
dEzymanizasjɔ̃,f
dEzymidifikasjɔ̃,f
dEzidʁatasjɔ̃,f
dEziɲasjɔ̃,f
dEzilyzjɔ̃,f
dEzilyzjɔnəmɑ̃,m
dEzɛ̃kaʁsEʁasjɔ̃,f
dEzɛ̃kaʁnasjɔ̃,f
dEzɛ̃kaʁne,m
dEzɛ̃kaʁne,f
dEzɛ̃dividɥalizasjɔ̃,f
dEzinɑ̃s,f
dEzɛ̃fEktɑ̃,m
dEzɛ̃fEksjɔ̃,f
dEzɛ̃fɔʁmasjɔ̃,f
dEzɛ̃sEktizasjɔ̃,f
dEzɛ̃tEgʁatœʁ,m
dEzɛ̃tEgʁasjɔ̃,f
dEzɛ̃tEʁɛsəmɑ̃,m
dEzɛ̃tEʁɛ,m
dEzɛ̃tOksikasjɔ̃,f
dEzɛ̃vɔltyʁ,f
dEziʁ,m
dEziʁabilite,f
dEziʁe,m
dEzistəmɑ̃,m
dɛsk,m
dEzObEisɑ̃s,f
dEzObEisɑ̃t,f
dEzObliʒɑ̃s,f
dEzOdOʁizɑ̃,m
dEzœvʁ,f
dEzØvʁe,m
dEzØvʁe,f
dEzœvʁəmɑ̃,m
dEzOlasjɔ̃,f
dEzɔʁbitasjɔ̃,f
dEzɔʁdOne,m
dEzɔʁdOne,f
dEzɔʁdʁ,m
dEzOʁganizatœʁ,m
dEzɔʁganizasjɔ̃,f
dEzOʁjɑ̃tasjɔ̃,f
dEzOsaʒ,m
dEzOsəmɑ̃,m
dEzOsœʁ,m
dEzOksiʒEnasjɔ̃,f
dEspEʁado,m
dEspiʁitɥalizasjɔ̃,f
dEspOtizm,m
dEskwamasjɔ̃,f
dEsEzisəmɑ̃,m
dEsɛʃəmɑ̃,m
dEsɛ̃,m
dEsEʁaʒ,m
dEsɛʁ,f
dEsɛʁt,f
dEsɛʁvɑ̃,m
dEsikasjɔ̃,f
dEsinatœʁ,m
dEsinatʁis,f
dEsine,m
dəsudəbʁa,m
dəsudətabl,m
dəsudəvɛʁ,m
dəsu,m
dəsydəli,m
dəsy,m
dEstabilizasjɔ̃,f
dEstalinizasjɔ̃,f
dEstɛ̃,m
dEstinasjɔ̃,f
dEstinatʁis,f
dEstine,f
dEstitysjɔ̃,f
dEstOkaʒ,m
dEstʁije,m
dEstʁOjœʁ,m
dEstʁyktʁis,f
dEstʁyktyʁasjɔ̃,f
dEsɥEtyd,f
dEzynjɔ̃,f
dEsɛ̃kʁOnizasjɔ̃,f
dEtaʃɑ̃,m
dEtaʃe,m
dEtaʃe,f
dEtaʃəmɑ̃,m
dEtaʃœʁ,m
dEtaj,m
dEtajɑ̃,m
dEtaʁtʁaʒ,m
dEtaʁtʁɑ̃,m
dEtaks,f
dEtEktœʁ,m
dEtEksjɔ̃,f
dEtəlaʒ,m
dEtɑ̃dœʁ,m
dEtɑ̃t,f
dEtɑ̃tœʁ,m
dEtɑ̃sjɔ̃,f
dEtɑ̃tʁis,f
dEtəny,m
dEtəny,f
dEtɛʁʒɑ̃,m
